,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belgium,Benin,Bhutan,Bolivia,Bosnia and Herz.,Botswana,Brazil,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Rep.,Chad,China,Colombia,Comoros,Congo,Croatia,Djibouti,Dem. Rep. Congo,Ecuador,Egypt,El Salvador,Eritrea,Ethiopia,France,Gambia,Georgia,Germany,Ghana,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,India,Indonesia,Iran,Iraq,Israel,Italy,Côte d'Ivoire,Jamaica,Jordan,Kenya,eSwatini,Kuwait,Kyrgyzstan,Laos,Lebanon,Lesotho,Liberia,Libya,Madagascar,Malaysia,Mali,Malta,Mauritania,Mexico,Moldova,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Nicaragua,Niger,Nigeria,Macedonia,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Solomon Islands,Somalia,South Africa,S. Sudan,Spain,Sri Lanka,Sudan,Sweden,Syria,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States of America,Uzbekistan,Venezuela,Yemen,Zambia,Zimbabwe
2024-06-30,,,0.0,,,,,,0.0,,0.0,0.0,7.0,,,,,,,,0.0,29.0,,58.0,,,,,,,,,12.0,,,,,1.0,,,0.0,0.0,,,,,29.0,0.0,51.0,8.0,2.0,,1525.0,,,0.0,,,0.0,,,,43.0,,0.0,2.0,,0.0,,,,,,0.0,,262.0,,,,,142.0,,,,,0.0,,,16.0,,,,93.0,0.0,,,,,,279.0,0.0,0.0,,,,0.0,168.0,0.0,0.0,3.0,12.0,,,,0.0,4423.0,,,,0.0,0.0,,,
2024-07-31,,,3.0,,,,,,0.0,,17.0,0.0,12.0,,,,,,,,0.0,33.0,,45.0,,,,,,,,,18.0,,,,,0.0,,,0.0,0.0,,,,,4.0,0.0,61.0,5.0,2.0,,1769.0,,,0.0,,,0.0,,,,51.0,,1.0,0.0,,0.0,,,,,,0.0,,230.0,,,,,153.0,,,,,27.0,,,7.0,,,,41.0,0.0,,,,,,269.0,0.0,0.0,,,,0.0,120.0,0.0,0.0,2.0,13.0,,,,0.0,5549.0,,,,0.0,0.0,,,
2024-08-31,,,0.0,,,,,,0.0,,337.0,0.0,2.0,,,,,,,,0.0,30.0,,39.0,,,,,,,,,28.0,,,,,0.0,,,3.0,0.0,,,,,17.0,0.0,22.0,3.0,1.0,,1513.0,,,0.0,,,0.0,,,,44.0,,0.0,0.0,,0.0,,,,,,0.0,,264.0,,,,,56.0,,,,,0.0,,,16.0,,,,568.0,0.0,,,,,,156.0,0.0,4.0,,,,0.0,146.0,0.0,0.0,2.0,3.0,,,,0.0,5197.0,,,,0.0,1.0,,,
2024-09-30,,,0.0,,,,,,0.0,,4.0,0.0,6.0,,,,,,,,0.0,29.0,,33.0,,,,,,,,,13.0,,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,43.0,2.0,6.0,,1044.0,,,0.0,,,0.0,,,,1248.0,,0.0,0.0,,0.0,,,,,,0.0,,176.0,,,,,103.0,,,,,36.0,,,13.0,,,,746.0,0.0,,,,,,89.0,1.0,0.0,,,,0.0,186.0,0.0,1.0,0.0,0.0,,,,0.0,5314.0,,,,0.0,0.0,,,
2024-10-31,,,0.0,,,,,,0.0,,3.0,0.0,2.0,,,,,,,,0.0,30.0,,22.0,,,,,,,,,41.0,,,,,0.0,,,0.0,0.0,,,,,157.0,0.0,79.0,2.0,25.0,,2028.0,,,0.0,,,0.0,,,,1202.0,,0.0,0.0,,0.0,,,,,,0.0,,281.0,,,,,10.0,,,,,0.0,,,18.0,,,,1989.0,0.0,,,,,,280.0,0.0,0.0,,,,0.0,202.0,0.0,0.0,1.0,27.0,,,,0.0,4461.0,,,,0.0,0.0,,,
2024-11-30,,,0.0,,,,,,0.0,,2.0,0.0,1.0,,,,,,,,0.0,22.0,,14.0,,,,,,,,,58.0,,,,,0.0,,,0.0,0.0,,,,,134.0,0.0,37.0,7.0,30.0,,1467.0,,,0.0,,,0.0,,,,1106.0,,0.0,0.0,,0.0,,,,,,0.0,,152.0,,,,,4.0,,,,,0.0,,,8.0,,,,2477.0,0.0,,,,,,106.0,0.0,0.0,,,,0.0,638.0,0.0,1.0,2.0,3.0,,,,0.0,4165.0,,,,0.0,0.0,,,
2024-12-31,,,0.0,,,,,,0.0,,0.0,0.0,15.0,,,,,,,,0.0,35.0,,27.0,,,,,,,,,77.0,,,,,0.0,,,0.0,0.0,,,,,336.0,1.0,33.0,14.0,4.0,,1371.0,,,0.0,,,0.0,,,,53.0,,0.0,0.0,,0.0,,,,,,0.0,,172.0,,,,,272.0,,,,,0.0,,,12.0,,,,1489.0,0.0,,,,,,189.0,0.0,36.0,,,,0.0,954.0,0.0,0.0,2.0,0.0,,,,1.0,5866.0,,,,0.0,1.0,,,
2025-01-31,,,0.0,,,,,,0.0,,2.0,0.0,28.0,,,,,,,,2.0,34.0,,27.0,,,,,,,,,5.0,,,,,0.0,,,0.0,2.0,,,,,75.0,3.0,74.0,8.0,0.0,,1059.0,,,1.0,,,0.0,,,,57.0,,0.0,0.0,,2.0,,,,,,7.0,,240.0,,,,,16.0,,,,,2.0,,,13.0,,,,1086.0,5.0,,,,,,114.0,6.0,0.0,,,,1.0,531.0,0.0,0.0,5.0,3.0,,,,0.0,4589.0,,,,1.0,0.0,,,
2025-02-28,,,0.0,,,,,,4.0,,6.0,1.0,15.0,,,,,,,,0.0,30.0,,96.0,,,,,,,,,2.0,,,,,2.0,,,0.0,0.0,,,,,40.0,0.0,74.0,1.0,1.0,,43.0,,,1.0,,,3.0,,,,21.0,,1.0,0.0,,0.0,,,,,,0.0,,165.0,,,,,109.0,,,,,3.0,,,14.0,,,,734.0,0.0,,,,,,640.0,53.0,35.0,,,,2.0,265.0,7.0,0.0,4.0,0.0,,,,0.0,4695.0,,,,0.0,0.0,,,
2025-03-31,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,,,
